Nicaragua,NIC,58.09
Netherlands,NLD,90.635
Norway,NOR,81.485
Nepal,NPL,18.942
Nauru,NRU,100.0
New Zealand,NZL,86.4
OECD members,OED,80.20050211915391
Oman,OMN,82.5
Other small states,OSS,61.117990368711204
Pakistan,PAK,36.234
Panama,PAN,67.027
Peru,PER,77.539
Philippines,PHL,46.475
Palau,PLW,78.775
Papua New Guinea,PNG,13.05
Poland,POL,60.178000000000004
Pre-demographic dividend,PRE,40.136838198172605
Puerto Rico,PRI,93.602
"Korea, Dem. People’s Rep.",PRK,61.471000000000004
Portugal,PRT,64.086
Paraguay,PRY,61.026
West Bank and Gaza,PSE,75.628
Pacific island small states,PSS,38.2907357416781
Post-demographic dividend,PST,80.9204443180372
French Polynesia,PYF,61.733999999999995
Qatar,QAT,99.015
Romania,ROU,53.9
Russian Federation,RUS,74.164
Rwanda,RWA,17.055999999999997
South Asia,SAS,33.1463250923278
Saudi Arabia,SAU,83.40100000000001
Sudan,SDN,34.121
Senegal,SEN,46.29600000000001
Singapore,SGP,100.0
Solomon Islands,SLB,22.823
Sierra Leone,SLE,41.228
El Salvador,SLV,70.501
San Marino,SMR,96.91
Somalia,SOM,43.816
Serbia,SRB,55.81
Sub-Saharan Africa (excluding high income),SSA,39.1146168225524
South Sudan,SSD,19.092
Sub-Saharan Africa,SSF,39.1161646131931
Small states,SST,57.833585795942
Sao Tome and Principe,STP,71.092
Suriname,SUR,66.04
Slovak Republic,SVK,53.806000000000004
Slovenia,SVN,54.02
Sweden,SWE,86.852
Eswatini,SWZ,23.459
Sint Maarten (Dutch part),SXM,100.0
Seychelles,SYC,55.831
Syrian Arab Republic,SYR,52.835
Turks and Caicos Islands,TCA,92.51700000000001
Chad,TCD,22.677
East Asia & Pacific (IDA & IBRD countries),TEA,53.5836815868044
Europe & Central Asia (IDA & IBRD countries),TEC,65.9652866045441
Togo,TGO,40.628
Thailand,THA,48.448
Tajikistan,TJK,26.851
Turkmenistan,TKM,50.728
Latin America & the Caribbean (IDA & IBRD countries),TLA,80.10506144539241
Timor-Leste,TLS,29.85
Middle East & North Africa (IDA & IBRD countries),TMN,60.766405099666606
Tonga,TON,23.221999999999998
South Asia (IDA & IBRD),TSA,33.1463250923278
Sub-Saharan Africa (IDA & IBRD countries),TSS,39.1161646131932
Trinidad and Tobago,TTO,53.25
Tunisia,TUN,68.346
Turkey,TUR,74.134
Tuvalu,TUV,60.645
Tanzania,TZA,32.333
Uganda,UGA,22.624000000000002
Ukraine,UKR,69.154
Upper middle income,UMC,64.6165589908403
Uruguay,URY,95.14399999999999
United States,USA,81.862
Uzbekistan,UZB,50.65
St. Vincent and the Grenadines,VCT,51.373000000000005
"Venezuela, RB",VEN,88.165
British Virgin Islands,VGB,46.957
Virgin Islands (U.S.),VIR,95.48
Vietnam,VNM,34.51
Vanuatu,VUT,25.061999999999998
World,WLD,54.36964520423571
Samoa,WSM,18.680999999999997
Kosovo,XKX,
"Yemen, Rep.",YEM,35.394
South Africa,ZAF,65.34100000000001
Zambia,ZMB,42.438
Zimbabwe,ZWE,32.296
